Filename;Laplacian Variance
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160027.png;601
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160500.png;569
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130158.png;556
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150603.png;553
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150557.png;547
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121739.png;545
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100251.png;544
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150259.png;543
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150306.png;542
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130455.png;542
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_122032.png;541
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160204.png;535
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140056.png;533
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160453.png;532
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121733.png;528
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140103.png;526
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160157.png;516
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140355.png;501
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130250.png;481
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160611.png;474
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160317.png;459
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160323.png;459
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160431.png;458
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100747.png;454
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090249.png;443
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090242.png;441
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121839.png;438
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100238.png;437
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_085937.png;434
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140423.png;433
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121528.png;430
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090229.png;430
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_150207.png;430
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100741.png;429
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160020.png;426
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160135.png;425
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130524.png;425
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_085950.png;425
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130227.png;418
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121542.png;416
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_085944.png;416
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150449.png;413
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130556.png;413
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130549.png;412
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150255.png;412
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160439.png;401
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130258.png;401
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090215.png;401
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150357.png;400
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120300.png;398
SE_2.91m_6.48s_WNW_20.9kmh_ml_20241120_110340.png;393
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150323.png;392
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150053.png;391
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121824.png;389
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090236.png;389
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140148.png;385
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_085930.png;384
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090140.png;383
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150529.png;382
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_150138.png;380
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150231.png;374
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140202.png;371
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090133.png;370
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150144.png;367
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140124.png;367
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100231.png;366
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140130.png;366
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140446.png;365
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150029.png;365
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130541.png;364
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150107.png;363
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140329.png;363
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140021.png;363
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150224.png;361
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160143.png;358
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160446.png;358
SE_2.84m_6.37s_WNW_24.2kmh_ml_20241120_130139.png;357
E_0.83m_4.0s_NNW_10.8kmh_hm_20241113_160028.png;354
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100734.png;353
SE_2.84m_6.37s_WNW_24.2kmh_ml_20241120_130256.png;353
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120126.png;352
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130449.png;352
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150506.png;351
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150253.png;350
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150023.png;350
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121831.png;350
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_085916.png;348
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130044.png;346
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150152.png;344
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160150.png;343
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150514.png;342
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150353.png;342
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090147.png;342
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120325.png;341
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150404.png;341
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150218.png;341
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150349.png;340
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120317.png;338
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121726.png;337
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_150506.png;337
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150212.png;336
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100245.png;335
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150441.png;335
E_1.18m_4.47s_N_11.1kmh_ml_20241114_090922.png;335
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140542.png;334
ESE_1.82m_5.12s_NNW_20.9kmh_hm_20241111_115942.png;333
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120536.png;332
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150550.png;332
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160507.png;330
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150054.png;330
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100310.png;329
E_0.83m_4.0s_NNW_10.8kmh_hm_20241113_160014.png;329
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160211.png;329
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100229.png;329
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160102.png;328
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120243.png;327
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100219.png;327
ESE_1.82m_5.12s_NNW_20.9kmh_hm_20241111_115938.png;327
E_0.83m_4.0s_NNW_10.8kmh_hm_20241113_160205.png;327
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140349.png;327
ESE_1.82m_5.12s_NNW_20.9kmh_hm_20241111_115741.png;326
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140453.png;326
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100420.png;326
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100727.png;326
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170455.png;325
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170357.png;324
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121548.png;324
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170447.png;323
E_1.18m_4.47s_N_11.1kmh_ml_20241114_090916.png;323
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140428.png;323
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150249.png;323
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120024.png;322
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140014.png;322
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140550.png;322
E_0.79m_4.28s_N_10.3kmh_mh_20241113_120303.png;321
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100113.png;321
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121746.png;321
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140245.png;320
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140422.png;320
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_122025.png;320
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100927.png;320
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_122004.png;319
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100448.png;319
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_085909.png;319
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130118.png;318
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130203.png;318
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140300.png;318
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130037.png;318
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150312.png;317
